,depth,subjnum,story,correct_response
0,1,0,0,0
1,1,0,2,1
2,1,0,4,1
3,1,0,5,1
4,1,0,7,1
5,1,0,8,1
6,1,0,9,0
7,1,0,10,0
8,1,0,12,1
9,1,0,13,1
10,1,0,14,1
11,1,0,15,1
12,1,0,16,1
13,1,0,17,1
14,1,0,18,1
15,1,0,20,1
16,1,0,21,1
17,1,0,22,1
18,1,0,24,1
19,1,0,26,1
20,1,0,27,1
21,1,0,28,1
22,1,0,29,1
23,1,0,30,1
24,1,0,31,1
25,1,0,32,1
26,1,0,33,1
27,1,0,34,1
28,1,0,35,1
29,1,0,36,1
30,1,0,37,1
31,1,0,39,1
32,1,0,41,0
33,1,0,42,1
34,1,0,43,1
35,1,0,44,1
36,1,0,46,1
37,1,0,47,0
38,1,0,48,1
39,1,0,49,0
40,1,0,52,1
41,1,0,53,1
42,1,0,55,1
43,1,0,56,0
44,1,0,58,1
45,1,0,60,0
46,1,0,61,0
47,1,0,62,1
48,1,0,63,1
49,1,0,64,1
50,1,0,65,0
51,1,0,66,1
52,1,0,68,0
53,1,0,69,0
54,1,0,70,0
55,1,0,71,1
56,1,0,72,1
57,1,0,73,0
58,1,0,74,1
59,1,0,75,1
60,1,0,76,1
61,1,0,77,1
62,1,0,79,1
63,1,0,80,1
64,1,0,81,1
65,1,0,82,1
66,1,0,83,1
67,1,0,84,1
68,1,0,85,1
69,1,0,86,1
70,1,0,87,1
71,1,0,88,1
72,1,0,89,1
73,1,0,90,1
74,1,0,91,1
75,1,0,92,1
76,1,0,94,1
77,1,0,95,1
78,1,0,96,1
79,1,0,99,1
80,1,0,100,1
81,1,0,101,1
82,1,0,102,1
83,1,0,103,1
84,1,0,104,1
85,1,0,105,1
86,1,0,106,1
87,1,0,109,1
88,1,0,110,1
89,1,0,111,1
90,1,0,112,1
91,1,0,115,1
92,1,0,116,1
93,1,0,117,1
94,1,0,118,1
95,1,0,119,1
96,1,0,122,1
97,1,0,123,1
98,1,0,124,1
99,1,0,125,1
100,1,0,126,1
101,1,0,127,1
102,1,0,128,1
103,1,0,129,1
104,1,0,130,1
105,1,0,131,1
106,1,0,132,1
107,1,0,133,1
108,1,0,134,1
109,1,0,135,1
110,1,0,136,1
111,1,0,137,1
112,1,0,138,1
113,1,0,139,1
114,1,0,140,1
115,1,0,143,1
116,1,0,144,1
117,1,0,146,1
118,1,0,147,1
119,1,0,148,1
