,depth,subjnum,story,correct_response
0,1,2,0,0
1,1,2,1,0
2,1,2,2,0
3,1,2,3,1
4,1,2,4,1
5,1,2,5,0
6,1,2,6,1
7,1,2,8,0
8,1,2,9,1
9,1,2,10,0
10,1,2,11,0
11,1,2,12,1
12,1,2,14,0
13,1,2,15,0
14,1,2,17,1
15,1,2,18,1
16,1,2,20,0
17,1,2,23,0
18,1,2,24,1
19,1,2,25,1
20,1,2,27,1
21,1,2,28,0
22,1,2,29,1
23,1,2,32,0
24,1,2,33,1
25,1,2,34,1
26,1,2,35,0
27,1,2,38,1
28,1,2,39,1
29,1,2,40,0
30,1,2,41,0
31,1,2,42,0
32,1,2,43,1
33,1,2,44,0
34,1,2,45,0
35,1,2,47,1
36,1,2,48,0
37,1,2,49,1
38,1,2,50,0
39,1,2,51,1
40,1,2,52,1
41,1,2,53,0
42,1,2,54,1
43,1,2,55,0
44,1,2,58,0
45,1,2,60,0
46,1,2,63,1
47,1,2,65,0
48,1,2,67,1
49,1,2,68,0
50,1,2,69,0
51,1,2,70,1
52,1,2,71,1
53,1,2,73,1
54,1,2,75,0
55,1,2,76,0
56,1,2,77,0
57,1,2,79,0
58,1,2,80,1
59,1,2,81,0
60,1,2,84,1
61,1,2,85,1
62,1,2,86,1
63,1,2,87,1
64,1,2,90,1
65,1,2,91,0
66,1,2,92,1
67,1,2,94,0
68,1,2,95,1
69,1,2,96,1
70,1,2,97,0
71,1,2,99,1
72,1,2,100,0
73,1,2,102,1
74,1,2,103,1
75,1,2,104,0
76,1,2,106,1
77,1,2,107,0
78,1,2,108,0
79,1,2,111,0
80,1,2,112,1
81,1,2,114,0
82,1,2,115,1
83,1,2,116,1
84,1,2,117,0
85,1,2,118,0
86,1,2,119,1
87,1,2,120,1
88,1,2,121,0
89,1,2,122,0
90,1,2,124,1
91,1,2,125,1
92,1,2,126,0
93,1,2,127,0
94,1,2,128,0
95,1,2,129,0
96,1,2,131,1
97,1,2,132,0
98,1,2,133,0
99,1,2,134,1
100,1,2,135,1
101,1,2,136,0
