,depth,subjnum,story,correct_response
0,1,1,0,0
1,1,1,1,1
2,1,1,4,1
3,1,1,7,1
4,1,1,8,0
5,1,1,9,1
6,1,1,10,1
7,1,1,11,1
8,1,1,12,0
9,1,1,13,1
10,1,1,14,1
11,1,1,15,1
12,1,1,16,1
13,1,1,18,1
14,1,1,19,1
15,1,1,20,1
16,1,1,22,1
17,1,1,24,1
18,1,1,25,1
19,1,1,26,1
20,1,1,28,1
21,1,1,29,1
22,1,1,31,1
23,1,1,32,1
24,1,1,33,1
25,1,1,34,1
26,1,1,35,1
27,1,1,36,1
28,1,1,37,1
29,1,1,39,1
30,1,1,40,0
31,1,1,41,1
32,1,1,42,1
33,1,1,44,0
34,1,1,45,1
35,1,1,48,1
36,1,1,49,1
37,1,1,52,1
38,1,1,53,1
39,1,1,54,1
40,1,1,55,1
41,1,1,56,1
42,1,1,57,1
43,1,1,59,1
44,1,1,60,1
45,1,1,62,1
46,1,1,64,1
47,1,1,65,1
48,1,1,66,1
49,1,1,67,1
50,1,1,68,1
51,1,1,75,1
52,1,1,76,1
53,1,1,77,1
54,1,1,78,1
55,1,1,79,1
56,1,1,80,1
57,1,1,81,1
58,1,1,83,1
59,1,1,85,1
60,1,1,89,1
61,1,1,91,1
62,1,1,92,1
63,1,1,93,1
64,1,1,95,1
65,1,1,98,1
66,1,1,99,1
67,1,1,100,1
68,1,1,101,1
69,1,1,103,1
70,1,1,106,1
71,1,1,107,1
72,1,1,108,1
73,1,1,109,1
74,1,1,113,1
75,1,1,117,1
76,1,1,118,1
77,1,1,119,1
78,1,1,120,1
79,1,1,122,0
80,1,1,123,1
81,1,1,124,1
82,1,1,125,1
83,1,1,126,1
84,1,1,127,1
85,1,1,128,1
86,1,1,129,1
87,1,1,131,1
88,1,1,132,1
89,1,1,133,1
90,1,1,135,1
91,1,1,136,1
92,1,1,137,1
93,1,1,138,1
94,1,1,139,1
95,1,1,141,1
96,1,1,142,1
97,1,1,144,1
98,1,1,145,1
99,1,1,146,1
100,1,1,147,1
101,1,1,148,1
102,1,1,149,1
103,1,1,150,1
104,1,1,151,1
105,1,1,152,1
106,1,1,153,1
107,1,1,155,1
108,1,1,156,1
109,1,1,157,1
110,1,1,158,1
111,1,1,160,1
112,1,1,163,1
113,1,1,164,1
114,1,1,169,1
115,1,1,170,1
116,1,1,172,1
117,1,1,173,1
118,1,1,174,1
119,1,1,175,1
120,1,1,176,1
121,1,1,177,1
122,1,1,178,1
123,1,1,180,1
124,1,1,184,1
125,1,1,186,1
126,1,1,187,1
127,1,1,188,1
128,1,1,189,1
129,1,1,190,1
130,1,1,192,1
131,1,1,193,1
132,1,1,194,1
133,1,1,196,1
134,1,1,197,1
135,1,1,199,1
136,1,2,0,1
137,1,2,1,0
138,1,2,2,1
139,1,2,3,0
140,1,2,4,0
141,1,2,5,1
142,1,2,6,1
143,1,2,9,1
144,1,2,10,1
145,1,2,11,1
146,1,2,17,1
147,1,2,19,1
148,1,2,22,1
149,1,2,23,1
150,1,2,24,1
151,1,2,26,1
152,1,2,28,1
153,1,2,29,1
154,1,2,30,1
155,1,2,31,1
156,1,2,32,1
157,1,2,34,1
158,1,2,35,1
159,1,2,38,1
160,1,2,40,1
161,1,2,41,1
162,1,2,42,1
163,1,2,43,1
164,1,2,44,1
165,1,2,45,1
166,1,2,46,1
167,1,2,47,1
168,1,2,48,1
169,1,2,49,1
170,1,2,50,1
171,1,2,51,1
172,1,2,52,1
173,1,2,53,1
174,1,2,55,1
175,1,2,56,1
176,1,2,57,1
177,1,2,60,1
178,1,2,61,1
179,1,2,62,1
180,1,2,63,1
181,1,2,64,1
182,1,2,65,1
183,1,2,67,1
184,1,2,69,1
185,1,2,70,1
186,1,2,71,1
187,1,2,72,1
188,1,2,73,1
189,1,2,74,1
190,1,2,76,1
191,1,2,78,1
192,1,2,79,1
193,1,2,80,1
194,1,2,81,1
195,1,2,82,1
196,1,2,83,1
197,1,2,85,1
198,1,2,87,1
199,1,2,88,1
200,1,2,89,1
201,1,2,90,1
202,1,2,92,1
203,1,2,93,1
204,1,2,95,1
205,1,2,96,1
206,1,2,97,1
207,1,2,98,1
208,1,2,99,1
209,1,2,100,1
210,1,2,101,1
211,1,2,102,1
212,1,2,103,1
213,1,2,104,1
214,1,2,105,1
215,1,2,106,1
216,1,2,107,1
217,1,2,108,1
218,1,2,109,1
219,1,2,110,1
220,1,2,111,1
221,1,2,112,1
222,1,2,114,1
223,1,2,116,1
224,1,2,117,1
225,1,2,118,1
226,1,2,119,1
227,1,2,120,1
228,1,2,122,1
229,1,2,124,1
230,1,2,125,1
231,1,2,131,1
232,1,2,133,1
233,1,2,135,1
234,1,2,137,1
235,1,2,139,1
236,1,2,142,1
237,1,2,143,1
238,1,2,144,1
239,1,2,145,1
240,1,2,146,1
241,1,2,147,1
242,1,2,148,1
243,1,2,149,1
244,1,2,152,1
245,1,2,153,1
246,1,2,154,1
247,1,2,156,1
248,1,2,157,1
249,1,2,159,1
250,1,2,161,1
251,1,2,162,1
252,1,2,163,1
253,1,2,164,1
254,1,2,165,1
255,1,2,166,1
256,1,2,167,1
257,1,2,168,1
258,1,2,170,1
259,1,2,171,1
260,1,2,172,1
261,1,2,173,1
262,1,2,177,1
263,1,2,178,1
264,1,2,179,1
265,1,2,181,1
266,1,2,182,1
267,1,2,183,1
268,1,2,184,1
269,1,2,185,1
270,1,2,186,1
271,1,2,187,1
272,1,2,188,1
273,1,2,189,1
274,1,2,191,1
275,1,2,192,1
276,1,2,193,1
277,1,2,194,1
278,1,2,195,1
279,1,2,196,1
280,1,2,197,1
281,1,2,198,1
282,1,2,199,1
283,1,4,0,0
284,1,4,2,1
285,1,4,3,0
286,1,4,4,1
287,1,4,5,1
288,1,4,6,1
289,1,4,7,1
290,1,4,8,1
291,1,4,9,1
292,1,4,11,1
293,1,4,12,1
294,1,4,14,1
295,1,4,16,1
296,1,4,17,1
297,1,4,21,1
298,1,4,22,1
299,1,4,23,1
300,1,4,24,1
301,1,4,25,1
302,1,4,27,1
303,1,4,28,1
304,1,4,29,1
305,1,4,31,1
306,1,4,32,1
307,1,4,33,1
308,1,4,34,1
309,1,4,37,1
310,1,4,38,1
311,1,4,41,0
312,1,4,42,1
313,1,4,43,1
314,1,4,44,1
315,1,4,46,1
316,1,4,48,1
317,1,4,49,1
318,1,4,51,1
319,1,4,53,1
320,1,4,54,1
321,1,4,55,1
322,1,4,56,1
323,1,4,57,1
324,1,4,58,1
325,1,4,59,1
326,1,4,61,1
327,1,4,62,1
328,1,4,63,1
329,1,4,64,1
330,1,4,65,1
331,1,4,66,1
332,1,4,67,1
333,1,4,68,1
334,1,4,69,1
335,1,4,70,1
336,1,4,73,1
337,1,4,74,1
338,1,4,75,1
339,1,4,76,1
340,1,4,77,1
341,1,4,78,1
342,1,4,80,1
343,1,4,81,1
344,1,4,82,0
345,1,4,84,1
346,1,4,85,1
347,1,4,87,1
348,1,4,88,1
349,1,4,89,1
350,1,4,91,1
351,1,4,92,1
352,1,4,93,1
353,1,4,94,1
354,1,4,95,1
355,1,4,96,1
356,1,4,97,1
357,1,4,98,1
358,1,4,100,1
359,1,4,103,1
360,1,4,104,1
361,1,4,105,1
362,1,4,107,1
363,1,4,108,1
364,1,4,110,1
365,1,4,113,1
366,1,4,114,1
367,1,4,115,1
368,1,4,116,1
369,1,4,118,1
370,1,4,120,1
371,1,4,122,1
372,1,4,124,1
373,1,4,125,1
374,1,4,126,1
375,1,4,127,1
376,1,4,129,1
377,1,4,130,1
378,1,4,132,1
379,1,4,134,1
380,1,4,136,1
381,1,4,137,1
382,1,4,138,1
383,1,4,139,1
384,1,4,141,1
385,1,4,142,1
386,1,4,144,1
387,1,4,147,1
388,1,4,148,1
389,1,4,150,1
390,1,4,151,1
391,1,4,153,1
392,1,4,154,1
393,1,4,155,1
394,1,4,156,1
395,1,4,161,1
396,1,4,162,1
397,1,4,163,1
398,1,4,165,0
399,1,4,166,1
400,1,4,167,1
401,1,4,168,1
402,1,4,170,1
403,1,4,171,1
404,1,4,172,1
405,1,4,174,1
406,1,4,175,1
407,1,4,177,1
408,1,4,179,1
409,1,4,180,1
410,1,4,181,1
411,1,4,182,1
412,1,4,183,1
413,1,4,184,1
414,1,4,185,1
415,1,4,186,1
416,1,4,187,1
417,1,4,190,1
418,1,4,191,1
419,1,4,192,1
420,1,4,193,1
421,1,4,194,1
422,1,4,195,1
423,1,4,196,1
424,1,4,197,1
425,1,4,199,1
426,1,5,0,0
427,1,5,1,1
428,1,5,2,1
429,1,5,3,1
430,1,5,4,1
431,1,5,6,1
432,1,5,7,1
433,1,5,8,0
434,1,5,9,1
435,1,5,10,1
436,1,5,11,1
437,1,5,12,1
438,1,5,13,1
439,1,5,14,1
440,1,5,15,1
441,1,5,17,1
442,1,5,18,1
443,1,5,19,1
444,1,5,21,1
445,1,5,22,1
446,1,5,23,1
447,1,5,24,1
448,1,5,25,1
449,1,5,27,1
450,1,5,28,1
451,1,5,29,1
452,1,5,30,1
453,1,5,31,1
454,1,5,33,1
455,1,5,34,1
456,1,5,35,1
457,1,5,36,1
458,1,5,37,1
459,1,5,38,1
460,1,5,39,1
461,1,5,40,0
462,1,5,41,0
463,1,5,42,0
464,1,5,43,0
465,1,5,45,0
466,1,5,46,1
467,1,5,48,1
468,1,5,49,1
469,1,5,50,1
470,1,5,51,1
471,1,5,52,1
472,1,5,53,1
473,1,5,54,1
474,1,5,55,1
475,1,5,57,1
476,1,5,58,1
477,1,5,59,1
478,1,5,60,1
479,1,5,61,1
480,1,5,62,1
481,1,5,64,1
482,1,5,65,1
483,1,5,67,1
484,1,5,69,1
485,1,5,70,1
486,1,5,72,1
487,1,5,74,1
488,1,5,75,1
489,1,5,76,1
490,1,5,77,1
491,1,5,78,1
492,1,5,79,1
493,1,5,84,1
494,1,5,85,1
495,1,5,86,0
496,1,5,87,1
497,1,5,88,1
498,1,5,89,1
499,1,5,90,1
500,1,5,91,1
501,1,5,92,1
502,1,5,93,1
503,1,5,94,1
504,1,5,97,1
505,1,5,98,1
506,1,5,99,1
507,1,5,101,1
508,1,5,102,1
509,1,5,103,1
510,1,5,105,1
511,1,5,106,1
512,1,5,107,1
513,1,5,108,1
514,1,5,109,1
515,1,5,110,1
516,1,5,113,1
517,1,5,116,1
518,1,5,117,1
519,1,5,120,1
520,1,5,121,1
521,1,5,122,1
522,1,5,124,1
523,1,5,126,1
524,1,5,127,1
525,1,5,128,1
526,1,5,129,1
527,1,5,130,1
528,1,5,132,1
529,1,5,133,1
530,1,5,134,1
531,1,5,136,1
532,1,5,137,1
533,1,5,138,0
534,1,5,139,1
535,1,5,141,1
536,1,5,142,0
537,1,5,144,1
538,1,5,145,1
539,1,5,147,1
540,1,5,149,1
541,1,5,150,1
542,1,5,151,1
543,1,5,152,1
544,1,5,153,1
545,1,5,154,1
546,1,5,155,1
547,1,5,156,1
548,1,5,158,1
549,1,5,159,1
550,1,5,160,1
551,1,5,161,1
552,1,5,163,1
553,1,5,166,1
554,1,5,168,1
555,1,5,169,1
556,1,5,170,1
557,1,5,171,1
558,1,5,172,1
559,1,5,173,1
560,1,5,174,1
561,1,5,175,1
562,1,5,176,1
563,1,5,177,1
564,1,5,178,1
565,1,5,179,1
566,1,5,180,1
567,1,5,181,0
568,1,5,183,1
569,1,5,184,1
570,1,5,185,1
571,1,5,186,1
572,1,5,187,1
573,1,5,188,1
574,1,5,189,1
575,1,5,190,1
576,1,5,192,1
577,1,5,193,1
578,1,5,194,1
579,1,5,195,1
580,1,5,197,1
581,1,5,198,1
582,1,5,199,1
583,1,7,0,0
584,1,7,4,1
585,1,7,5,1
586,1,7,6,1
587,1,7,7,0
588,1,7,9,1
589,1,7,10,1
590,1,7,12,1
591,1,7,13,0
592,1,7,14,1
593,1,7,15,1
594,1,7,16,1
595,1,7,17,1
596,1,7,18,1
597,1,7,19,1
598,1,7,20,1
599,1,7,21,1
600,1,7,22,1
601,1,7,23,1
602,1,7,26,1
603,1,7,30,1
604,1,7,31,1
605,1,7,32,1
606,1,7,34,1
607,1,7,35,1
608,1,7,36,1
609,1,7,38,1
610,1,7,39,1
611,1,7,40,1
612,1,7,41,1
613,1,7,42,1
614,1,7,43,1
615,1,7,45,0
616,1,7,46,1
617,1,7,47,1
618,1,7,48,1
619,1,7,49,1
620,1,7,51,1
621,1,7,52,1
622,1,7,53,1
623,1,7,56,1
624,1,7,59,1
625,1,7,61,1
626,1,7,62,1
627,1,7,63,1
628,1,7,64,1
629,1,7,65,1
630,1,7,66,1
631,1,7,68,1
632,1,7,69,1
633,1,7,70,1
634,1,7,71,1
635,1,7,72,1
636,1,7,73,1
637,1,7,76,1
638,1,7,77,1
639,1,7,81,0
640,1,7,82,1
641,1,7,83,0
642,1,7,84,1
643,1,7,85,0
644,1,7,86,1
645,1,7,88,1
646,1,7,89,0
647,1,7,90,1
648,1,7,91,1
649,1,7,93,1
650,1,7,95,1
651,1,7,96,1
652,1,7,97,1
653,1,7,98,1
654,1,7,99,1
655,1,7,100,1
656,1,7,101,1
657,1,7,103,1
658,1,7,104,1
659,1,7,106,1
660,1,7,107,1
661,1,7,109,1
662,1,7,110,1
663,1,7,111,1
664,1,7,112,1
665,1,7,113,1
666,1,7,114,1
667,1,7,115,1
668,1,7,116,1
669,1,7,118,1
670,1,7,120,1
671,1,7,121,0
672,1,7,122,1
673,1,7,123,1
674,1,7,124,1
675,1,7,125,1
676,1,7,127,0
677,1,7,128,1
678,1,7,129,1
679,1,7,130,1
680,1,7,131,1
681,1,7,133,1
682,1,7,134,1
683,1,7,136,0
684,1,7,137,1
685,1,7,139,1
686,1,7,140,1
687,1,7,141,1
688,1,7,142,0
689,1,7,144,1
690,1,7,145,1
691,1,7,146,1
692,1,7,148,1
693,1,7,149,1
694,1,7,150,1
695,1,7,151,1
696,1,7,152,1
697,1,7,153,1
698,1,7,154,1
699,1,7,156,1
700,1,7,158,1
701,1,7,159,1
702,1,7,160,1
703,1,7,162,1
704,1,7,163,1
705,1,7,165,1
706,1,7,166,1
707,1,7,168,1
708,1,7,170,1
709,1,7,171,1
710,1,7,172,1
711,1,7,173,1
712,1,7,175,1
713,1,7,177,1
714,1,7,179,1
715,1,7,181,1
716,1,7,182,1
717,1,7,184,1
718,1,7,185,1
719,1,7,186,1
720,1,7,187,1
721,1,7,189,1
722,1,7,190,1
723,1,7,192,1
724,1,7,194,1
725,1,7,195,1
726,1,7,197,1
727,1,7,198,1
728,1,7,199,1
729,1,8,0,0
730,1,8,2,0
731,1,8,4,0
732,1,8,5,1
733,1,8,6,1
734,1,8,8,1
735,1,8,9,1
736,1,8,10,1
737,1,8,13,1
738,1,8,15,1
739,1,8,17,1
740,1,8,18,1
741,1,8,19,1
742,1,8,20,1
743,1,8,22,1
744,1,8,23,1
745,1,8,24,1
746,1,8,25,1
747,1,8,26,1
748,1,8,28,1
749,1,8,29,1
750,1,8,30,1
751,1,8,31,1
752,1,8,32,1
753,1,8,33,1
754,1,8,34,1
755,1,8,36,1
756,1,8,37,1
