,depth,subjnum,story,correct_response
0,1,6,0,0
1,1,6,2,1
2,1,6,3,0
3,1,6,4,1
4,1,6,5,0
5,1,6,6,1
6,1,6,7,1
7,1,6,8,1
8,1,6,9,0
9,1,6,10,1
10,1,6,11,1
11,1,6,13,0
12,1,6,14,1
13,1,6,15,1
14,1,6,17,1
15,1,6,18,1
16,1,6,19,1
17,1,6,20,0
18,1,6,21,1
19,1,6,22,0
20,1,6,23,1
21,1,6,24,0
22,1,6,26,0
23,1,6,27,0
24,1,6,28,0
25,1,6,29,1
26,1,6,30,1
27,1,6,31,0
28,1,6,33,0
29,1,6,34,0
30,1,6,35,1
31,1,6,36,1
32,1,6,37,0
33,1,6,38,0
34,1,6,40,1
35,1,6,44,0
36,1,6,45,1
37,1,6,49,1
38,1,6,51,1
39,1,6,52,0
40,1,6,54,0
41,1,6,55,0
42,1,6,56,0
43,1,6,57,0
44,1,6,58,1
45,1,6,59,0
46,1,6,60,1
47,1,6,61,0
48,1,6,62,0
49,1,6,64,0
50,1,6,65,0
51,1,6,66,0
52,1,6,67,1
53,1,6,68,0
54,1,6,70,1
55,1,6,72,0
56,1,6,73,1
57,1,6,74,0
58,1,6,75,1
59,1,6,77,0
60,1,6,78,0
61,1,6,80,0
62,1,6,81,1
63,1,6,82,1
64,1,6,83,1
65,1,6,86,0
66,1,6,87,1
67,1,6,88,0
68,1,6,89,1
69,1,6,91,0
70,1,6,92,1
71,1,6,93,0
72,1,6,94,0
73,1,6,95,1
74,1,6,96,1
75,1,6,97,1
76,1,6,98,1
77,1,6,99,1
78,1,6,101,1
79,1,6,102,1
80,1,6,103,1
81,1,6,104,1
82,1,6,105,1
83,1,6,106,1
84,1,6,107,1
85,1,6,108,1
86,1,6,109,1
87,1,6,110,1
88,1,6,111,1
89,1,6,112,1
90,1,6,113,1
91,1,6,115,1
92,1,6,116,1
93,1,6,117,1
94,1,6,118,1
95,1,6,119,1
96,1,6,120,0
97,1,6,121,0
98,1,6,122,0
99,1,6,123,1
100,1,6,124,0
101,1,6,125,1
102,1,6,126,1
103,1,6,127,1
104,1,6,128,0
105,1,6,129,1
106,1,6,131,1
107,1,6,133,1
108,1,6,136,1
109,1,6,137,0
110,1,6,138,0
111,1,6,139,0
112,1,6,140,0
113,1,6,142,0
114,1,6,145,0
115,1,6,146,0
116,1,6,147,0
117,1,6,148,1
118,1,6,152,0
119,1,6,153,0
120,1,6,154,0
121,1,6,156,1
122,1,6,157,0
123,1,6,159,0
124,1,6,161,1
125,1,6,162,1
126,1,6,163,0
127,1,6,165,0
128,1,6,166,0
129,1,6,167,1
130,1,6,168,0
131,1,6,169,0
132,1,6,170,0
133,1,6,172,1
134,1,6,173,1
135,1,6,175,1
136,1,6,176,0
137,1,6,177,1
138,1,6,178,0
139,1,6,179,1
140,1,6,180,1
141,1,6,182,1
142,1,6,183,0
143,1,6,184,1
144,1,6,186,1
145,1,6,187,1
146,1,6,189,0
147,1,6,190,0
148,1,6,191,1
149,1,6,192,0
150,1,6,193,1
151,1,6,194,0
152,1,6,195,1
153,1,6,196,0
154,1,6,197,1
155,1,6,198,0
156,1,6,199,0
157,1,9,0,0
158,1,9,1,1
159,1,9,4,0
160,1,9,5,1
161,1,9,6,1
162,1,9,7,1
163,1,9,8,1
164,1,9,9,1
165,1,9,10,0
166,1,9,11,0
167,1,9,13,0
168,1,9,14,1
169,1,9,16,0
170,1,9,17,0
171,1,9,18,0
172,1,9,19,1
173,1,9,20,0
174,1,9,21,0
175,1,9,22,0
176,1,9,24,1
177,1,9,25,1
178,1,9,26,1
179,1,9,27,1
180,1,9,29,1
181,1,9,30,1
182,1,9,31,1
183,1,9,32,1
184,1,9,33,1
185,1,9,35,1
186,1,9,37,1
187,1,9,38,1
188,1,9,39,1
189,1,9,40,1
190,1,9,41,1
191,1,9,42,1
192,1,9,43,1
193,1,9,45,1
194,1,9,47,1
195,1,9,48,1
196,1,9,52,1
197,1,9,53,1
198,1,9,54,1
199,1,9,55,1
200,1,9,56,1
201,1,9,57,1
202,1,9,58,1
203,1,9,59,1
204,1,9,60,1
205,1,9,61,1
206,1,9,62,1
207,1,9,63,1
208,1,9,65,1
209,1,9,66,1
210,1,9,67,1
211,1,9,68,1
212,1,9,69,1
213,1,9,70,1
214,1,9,72,1
215,1,9,73,1
216,1,9,74,1
217,1,9,78,1
218,1,9,80,1
219,1,9,81,1
220,1,9,83,1
221,1,9,84,1
222,1,9,85,1
223,1,9,86,1
224,1,9,87,1
225,1,9,88,1
226,1,9,89,1
227,1,9,90,1
228,1,9,93,1
229,1,9,94,1
230,1,9,95,1
231,1,9,96,1
232,1,9,97,1
233,1,9,99,1
234,1,9,100,1
235,1,9,101,1
236,1,9,102,1
237,1,9,104,1
238,1,9,106,1
239,1,9,107,1
240,1,9,109,1
241,1,9,110,1
242,1,9,111,1
243,1,9,112,1
244,1,9,115,1
245,1,9,116,1
246,1,9,118,1
247,1,9,119,1
248,1,9,120,1
249,1,9,121,1
250,1,9,122,1
251,1,9,123,1
252,1,9,124,1
253,1,9,126,1
254,1,9,128,1
255,1,9,129,1
256,1,9,130,1
257,1,9,131,1
258,1,9,132,1
259,1,9,133,1
260,1,9,134,1
261,1,9,135,1
262,1,9,137,1
263,1,9,138,1
264,1,9,139,1
265,1,9,141,1
266,1,9,142,0
267,1,9,145,1
268,1,9,147,1
269,1,9,148,1
270,1,9,149,1
271,1,9,150,1
272,1,9,151,1
273,1,9,152,1
274,1,9,153,1
275,1,9,155,1
276,1,9,156,1
277,1,9,157,0
278,1,9,158,1
279,1,9,159,1
280,1,9,160,1
281,1,9,161,1
282,1,9,162,1
283,1,9,163,1
284,1,9,164,1
285,1,9,166,1
286,1,9,167,1
287,1,9,168,1
288,1,9,169,1
289,1,9,171,1
290,1,9,172,1
291,1,9,173,1
292,1,9,176,1
293,1,9,177,1
294,1,9,178,1
