,depth,subjnum,story,correct_response
0,1,5,0,0
1,1,5,1,1
2,1,5,2,1
3,1,5,3,1
4,1,5,4,1
5,1,5,5,0
6,1,5,6,1
7,1,5,7,1
8,1,5,8,0
9,1,5,10,1
10,1,5,11,1
11,1,5,13,0
12,1,5,14,1
13,1,5,15,1
14,1,5,16,0
15,1,5,17,1
16,1,5,18,1
17,1,5,19,1
18,1,5,21,0
19,1,5,23,1
20,1,5,24,0
21,1,5,26,0
22,1,5,27,0
23,1,5,28,1
24,1,5,29,0
25,1,5,31,1
26,1,5,35,0
27,1,5,36,0
28,1,5,37,0
29,1,5,38,0
30,1,5,39,1
31,1,5,40,1
32,1,5,41,0
33,1,5,42,1
34,1,5,43,0
35,1,5,44,1
36,1,5,45,1
37,1,5,47,1
38,1,5,48,0
39,1,5,50,1
40,1,5,51,0
41,1,5,52,0
42,1,5,54,0
43,1,5,56,1
44,1,5,57,0
45,1,5,58,0
46,1,5,59,1
47,1,5,60,1
48,1,5,61,0
49,1,5,63,1
50,1,5,64,0
51,1,5,66,1
52,1,5,67,0
53,1,5,69,1
54,1,5,70,0
55,1,5,71,0
56,1,5,72,1
57,1,5,73,1
58,1,5,74,0
59,1,5,75,0
60,1,5,76,1
61,1,5,77,0
62,1,5,78,0
63,1,5,81,1
64,1,5,82,0
65,1,5,84,0
66,1,5,85,1
67,1,5,86,0
68,1,5,87,1
69,1,5,88,0
70,1,5,90,1
71,1,5,91,0
72,1,5,92,0
73,1,5,94,1
74,1,5,95,0
75,1,5,96,1
76,1,5,98,0
77,1,5,99,1
78,1,5,101,0
79,1,5,102,1
80,1,5,103,0
81,1,5,104,0
82,1,5,106,1
83,1,5,107,0
84,1,5,109,0
85,1,5,111,1
86,1,5,112,1
87,1,5,113,1
88,1,5,116,1
89,1,5,117,1
90,1,5,118,0
91,1,5,119,1
92,1,5,120,1
93,1,5,121,0
94,1,5,122,0
95,1,5,123,1
96,1,5,125,1
97,1,5,126,0
98,1,5,127,0
99,1,5,129,0
100,1,5,130,1
101,1,5,132,0
102,1,5,133,1
103,1,5,134,0
104,1,5,136,0
105,1,5,138,1
106,1,5,139,1
107,1,5,141,1
108,1,5,145,0
109,1,5,147,1
110,1,5,148,0
111,1,5,149,1
112,1,5,151,0
113,1,5,155,1
114,1,5,156,1
115,1,5,157,0
116,1,5,158,1
117,1,5,160,1
118,1,5,161,1
119,1,5,163,1
120,1,5,164,0
121,1,5,165,0
122,1,5,166,1
123,1,5,167,1
124,1,5,169,0
125,1,5,171,1
126,1,5,172,1
127,1,5,175,1
128,1,5,176,1
129,1,5,180,0
130,1,5,181,0
131,1,5,183,1
132,1,5,184,0
133,1,5,185,0
134,1,5,186,1
135,1,5,187,1
136,1,5,188,1
137,1,5,189,0
138,1,5,190,0
139,1,5,191,0
140,1,5,192,1
141,1,5,193,1
