,depth,subjnum,story,correct_response
0,1,0,0,0
1,1,0,1,0
2,1,0,2,1
3,1,0,3,0
4,1,0,5,1
5,1,0,6,1
6,1,0,7,0
7,1,0,9,0
8,1,0,10,1
9,1,0,11,0
10,1,0,13,1
11,1,0,14,1
12,1,0,16,0
13,1,0,17,0
14,1,0,19,1
15,1,0,20,1
16,1,0,21,0
17,1,0,22,1
18,1,0,23,0
19,1,0,24,1
20,1,0,27,0
21,1,0,28,0
22,1,0,29,0
23,1,0,30,1
24,1,0,32,1
25,1,0,33,0
26,1,0,34,1
27,1,0,35,0
28,1,0,36,1
29,1,0,38,1
30,1,0,40,0
31,1,0,41,0
32,1,0,42,0
33,1,0,46,0
34,1,0,47,0
35,1,0,48,0
36,1,0,50,0
37,1,0,51,1
38,1,0,52,1
39,1,0,53,1
40,1,0,54,1
41,1,0,55,0
42,1,0,56,0
43,1,0,57,1
44,1,0,58,0
45,1,0,59,0
46,1,0,60,1
47,1,0,62,1
48,1,0,63,0
49,1,0,65,1
50,1,0,66,1
51,1,0,68,0
52,1,0,73,0
53,1,0,74,0
54,1,0,75,0
55,1,0,76,1
56,1,0,77,0
57,1,0,78,1
58,1,0,80,0
59,1,0,81,1
60,1,0,82,1
61,1,0,83,1
62,1,0,85,0
63,1,0,86,1
64,1,0,89,1
65,1,0,90,1
66,1,0,93,1
67,1,0,94,1
68,1,0,95,1
69,1,0,96,1
70,1,0,98,1
71,1,0,99,1
72,1,0,100,1
73,1,0,101,1
74,1,0,102,1
75,1,0,103,1
76,1,0,104,1
77,1,0,105,1
78,1,0,107,1
79,1,0,108,1
80,1,0,109,1
81,1,0,110,1
82,1,0,111,1
83,1,0,113,1
84,1,0,114,1
85,1,0,115,1
86,1,0,116,1
87,1,0,117,1
88,1,0,119,1
89,1,0,122,1
90,1,0,123,0
91,1,0,124,1
92,1,0,126,1
93,1,0,127,0
94,1,0,128,1
95,1,0,129,0
96,1,0,131,0
97,1,0,132,1
98,1,0,133,1
99,1,0,134,1
100,1,0,136,1
101,1,0,138,1
102,1,0,140,1
103,1,0,141,0
104,1,0,142,1
105,1,0,144,1
106,1,0,146,1
107,1,0,147,1
108,1,0,148,1
109,1,0,149,1
110,1,0,150,1
111,1,0,151,1
112,1,0,152,1
113,1,0,154,1
114,1,0,156,1
115,1,0,157,1
116,1,0,158,1
117,1,0,161,1
118,1,0,162,1
119,1,0,163,1
120,1,0,164,1
121,1,0,165,1
122,1,0,168,1
123,1,0,169,1
124,1,0,170,1
125,1,0,171,1
126,1,0,172,1
127,1,0,173,1
128,1,0,175,1
129,1,0,176,1
130,1,0,177,1
131,1,0,178,1
132,1,0,180,1
133,1,0,181,1
134,1,0,182,1
135,1,0,183,1
136,1,0,184,1
137,1,0,186,1
138,1,0,187,1
139,1,0,188,1
140,1,0,189,1
141,1,0,191,1
142,1,0,192,1
143,1,0,193,1
144,1,0,194,1
145,1,0,195,1
146,1,0,196,1
147,1,0,197,1
148,1,0,198,1
149,1,0,199,1
150,1,3,0,1
151,1,3,1,0
152,1,3,3,0
153,1,3,4,1
154,1,3,5,0
155,1,3,6,1
156,1,3,7,1
157,1,3,10,0
158,1,3,13,1
159,1,3,14,1
160,1,3,15,0
161,1,3,17,1
162,1,3,18,1
163,1,3,22,0
164,1,3,23,0
