,depth,subjnum,story,correct_response
0,1,0,0,0
1,1,0,1,0
2,1,0,2,1
3,1,0,3,1
4,1,0,4,0
5,1,0,5,0
6,1,0,6,1
7,1,0,7,1
8,1,0,8,0
9,1,0,9,1
10,1,0,10,1
11,1,0,14,1
12,1,0,15,1
13,1,0,16,1
14,1,0,17,1
15,1,0,18,1
16,1,0,19,1
17,1,0,20,1
18,1,0,21,0
19,1,0,22,0
20,1,0,23,0
21,1,0,24,1
22,1,0,26,0
23,1,0,27,1
24,1,0,28,0
25,1,0,29,1
26,1,0,30,1
27,1,0,31,0
28,1,0,34,1
29,1,0,37,1
30,1,0,39,0
31,1,0,40,1
32,1,0,41,1
33,1,0,42,1
34,1,0,44,0
35,1,0,45,0
36,1,0,47,0
37,1,0,48,1
38,1,0,50,0
39,1,0,52,1
40,1,0,54,1
41,1,0,55,1
42,1,0,56,1
43,1,0,57,0
44,1,0,59,1
45,1,0,60,0
46,1,0,61,1
47,1,0,62,0
48,1,0,63,0
49,1,0,64,0
50,1,0,65,0
51,1,0,66,1
52,1,0,67,0
53,1,0,68,0
54,1,0,71,1
55,1,0,72,1
56,1,0,73,1
57,1,0,74,1
58,1,0,75,1
59,1,0,76,0
60,1,0,78,1
61,1,0,79,0
62,1,0,80,1
63,1,0,81,1
64,1,0,83,1
65,1,0,85,0
66,1,0,86,0
67,1,0,88,1
68,1,0,89,0
69,1,0,91,1
70,1,0,92,0
71,1,0,93,1
72,1,0,94,0
73,1,0,95,1
74,1,0,96,0
75,1,0,97,0
76,1,0,98,1
77,1,0,99,1
78,1,0,100,1
79,1,0,101,0
80,1,0,105,1
81,1,0,106,1
82,1,0,107,0
83,1,0,108,1
84,1,0,109,0
85,1,0,110,1
86,1,0,114,0
87,1,0,115,0
88,1,0,116,1
89,1,0,117,0
90,1,0,118,0
91,1,0,119,0
92,1,0,120,0
93,1,0,121,1
94,1,0,122,0
95,1,0,123,0
96,1,0,124,0
97,1,0,126,0
98,1,0,127,1
99,1,0,128,0
100,1,0,129,1
101,1,0,130,1
102,1,0,131,1
103,1,0,133,1
104,1,0,134,0
105,1,0,136,1
106,1,0,137,0
107,1,0,138,0
108,1,0,139,1
109,1,0,140,1
110,1,0,141,0
111,1,0,142,0
112,1,0,143,1
113,1,0,144,1
114,1,0,145,0
115,1,0,146,0
116,1,0,147,0
117,1,0,148,0
118,1,0,149,0
119,1,0,150,1
120,1,0,151,1
121,1,0,152,1
122,1,0,154,0
123,1,0,155,0
124,1,0,156,0
125,1,0,157,1
126,1,0,158,1
127,1,0,160,1
128,1,0,161,1
129,1,0,162,0
130,1,0,163,0
131,1,0,164,1
132,1,0,169,1
133,1,0,170,0
134,1,0,171,1
135,1,0,172,0
136,1,0,174,0
137,1,0,175,0
138,1,0,179,0
139,1,0,180,0
140,1,0,181,0
141,1,0,182,1
142,1,0,184,0
143,1,0,185,1
144,1,0,187,0
145,1,0,188,1
146,1,0,190,0
147,1,0,191,1
148,1,0,193,1
149,1,0,194,1
150,1,0,195,0
151,1,0,197,1
152,1,0,198,0
153,1,0,199,0
154,1,4,0,0
155,1,4,2,0
156,1,4,3,0
157,1,4,4,0
158,1,4,6,1
159,1,4,7,1
160,1,4,8,0
161,1,4,9,1
162,1,4,10,1
163,1,4,11,0
164,1,4,12,1
