,depth,subjnum,story,correct_response
0,1,0,0,1
1,1,0,1,0
2,1,0,2,1
3,1,0,3,0
4,1,0,4,0
5,1,0,6,1
6,1,0,7,0
7,1,0,8,1
8,1,0,13,0
9,1,0,15,0
10,1,0,17,0
11,1,0,18,0
12,1,0,20,0
13,1,0,21,1
14,1,0,22,1
15,1,0,23,0
16,1,0,24,0
17,1,0,25,0
18,1,0,27,1
19,1,0,29,0
20,1,0,30,0
21,1,0,31,0
22,1,0,32,1
23,1,0,34,0
24,1,0,37,0
25,1,0,38,1
26,1,0,39,0
27,1,0,40,1
28,1,0,41,0
29,1,0,43,0
30,1,0,44,1
31,1,0,45,0
32,1,0,46,0
33,1,0,47,1
34,1,0,48,0
35,1,0,49,0
36,1,0,50,1
37,1,0,52,0
38,1,0,54,1
39,1,0,55,0
40,1,0,56,0
41,1,0,57,1
42,1,0,58,0
43,1,0,59,0
44,1,0,62,1
45,1,0,63,1
46,1,0,64,1
47,1,0,68,1
48,1,0,69,1
49,1,0,72,1
50,1,0,73,1
51,1,0,74,1
52,1,0,75,0
53,1,0,76,1
54,1,0,78,0
55,1,0,79,0
56,1,0,80,0
57,1,0,81,1
58,1,0,82,1
59,1,0,83,0
60,1,0,84,1
61,1,0,85,1
62,1,0,86,0
63,1,0,87,0
64,1,0,89,1
65,1,0,90,0
66,1,0,92,0
67,1,0,93,1
68,1,0,94,1
69,1,0,95,0
70,1,0,96,1
71,1,0,97,0
72,1,0,98,1
73,1,0,101,0
74,1,0,103,1
75,1,0,104,1
76,1,0,105,0
77,1,0,106,0
78,1,0,108,0
79,1,0,109,0
80,1,0,111,0
81,1,0,113,0
82,1,0,114,1
83,1,0,117,1
84,1,0,121,0
85,1,0,123,0
86,1,0,124,1
87,1,0,125,1
88,1,0,126,0
89,1,0,127,0
90,1,0,128,0
91,1,0,129,0
92,1,0,130,1
93,1,0,131,0
94,1,0,132,0
95,1,0,133,0
96,1,0,134,1
97,1,0,135,1
98,1,0,137,1
99,1,0,139,1
100,1,0,140,0
101,1,0,141,0
102,1,0,143,0
103,1,0,144,0
104,1,0,146,0
105,1,0,147,1
106,1,0,149,1
107,1,0,150,1
108,1,0,151,1
109,1,0,153,1
110,1,0,156,0
111,1,0,157,0
112,1,0,158,1
113,1,0,159,0
114,1,0,160,1
115,1,0,161,0
116,1,0,162,1
117,1,0,163,1
118,1,0,164,1
119,1,0,165,0
120,1,0,166,1
121,1,0,167,1
122,1,0,168,1
123,1,0,170,0
124,1,0,171,0
125,1,0,172,0
126,1,0,173,0
127,1,0,174,0
128,1,0,175,0
129,1,0,176,0
130,1,0,177,0
131,1,0,179,1
132,1,0,180,1
133,1,0,183,0
134,1,0,184,1
135,1,0,185,1
136,1,0,186,0
137,1,0,187,0
138,1,0,188,0
139,1,0,189,1
140,1,0,192,0
141,1,0,193,1
142,1,0,195,1
143,1,0,196,0
144,1,0,197,0
145,1,0,198,0
146,1,2,0,1
147,1,2,1,1
148,1,2,2,0
149,1,2,3,1
150,1,2,4,1
151,1,2,5,1
152,1,2,7,1
153,1,2,10,1
154,1,2,12,1
155,1,2,13,0
156,1,2,14,1
157,1,2,15,1
