,depth,subjnum,story,correct_response
0,1,1,1,0
1,1,1,2,0
2,1,1,3,0
3,1,1,4,1
4,1,1,5,1
5,1,1,6,1
6,1,1,8,0
7,1,1,10,1
8,1,1,11,1
9,1,1,12,1
10,1,1,13,1
11,1,1,14,1
12,1,1,15,1
13,1,1,16,1
14,1,1,17,0
15,1,1,18,1
16,1,1,19,1
17,1,1,20,0
18,1,1,21,0
19,1,1,22,0
20,1,1,23,0
21,1,1,24,1
22,1,1,25,1
23,1,1,26,1
24,1,1,27,0
25,1,1,28,1
26,1,1,29,0
27,1,1,30,1
28,1,1,31,0
29,1,1,32,1
30,1,1,33,0
31,1,1,34,1
32,1,1,36,1
33,1,1,37,1
34,1,1,38,1
35,1,1,39,0
36,1,1,40,1
37,1,1,41,0
38,1,1,42,0
39,1,1,43,1
40,1,1,44,1
41,1,1,45,0
42,1,1,46,1
43,1,1,47,0
44,1,1,48,1
45,1,1,49,0
46,1,1,50,1
47,1,1,51,1
48,1,1,54,0
49,1,1,55,1
50,1,1,57,0
51,1,1,58,1
52,1,1,59,0
53,1,1,60,1
54,1,1,63,0
55,1,1,64,1
56,1,1,65,0
57,1,1,68,0
58,1,1,70,0
59,1,1,71,0
60,1,1,72,1
61,1,1,73,0
62,1,1,74,1
63,1,1,75,0
64,1,1,76,1
65,1,1,78,1
66,1,1,79,0
67,1,1,80,0
68,1,1,81,0
69,1,1,82,1
70,1,1,83,0
71,1,1,84,0
72,1,1,85,0
73,1,1,86,1
74,1,1,87,0
75,1,1,88,1
76,1,1,89,0
77,1,1,90,1
78,1,1,93,0
79,1,1,94,1
80,1,1,96,1
81,1,1,98,0
82,1,1,99,1
83,1,1,100,1
84,1,1,101,0
85,1,1,102,0
86,1,1,103,1
87,1,1,104,1
88,1,1,106,1
89,1,1,107,1
90,1,1,108,0
91,1,1,110,1
92,1,1,111,1
93,1,1,112,1
94,1,1,113,0
95,1,1,114,1
96,1,1,117,1
97,1,1,120,1
98,1,1,122,1
99,1,1,124,1
100,1,1,125,0
101,1,1,126,1
102,1,1,127,1
103,1,1,128,1
104,1,1,129,0
105,1,1,130,0
106,1,1,131,1
107,1,1,132,0
108,1,1,133,0
109,1,1,135,0
110,1,1,137,1
111,1,1,138,1
112,1,1,139,0
113,1,1,140,1
114,1,1,142,0
115,1,1,143,1
116,1,1,146,1
117,1,1,147,0
118,1,1,148,1
119,1,1,149,1
120,1,1,150,1
121,1,1,151,0
122,1,1,152,0
123,1,1,153,1
124,1,1,155,1
125,1,1,156,1
126,1,1,157,0
127,1,1,158,1
128,1,1,159,1
129,1,1,160,0
130,1,1,161,1
131,1,1,163,0
132,1,1,165,0
133,1,1,167,0
134,1,1,168,1
135,1,1,169,0
136,1,1,170,0
137,1,1,173,0
138,1,1,174,0
139,1,1,175,0
140,1,1,176,1
141,1,1,179,0
142,1,1,180,0
143,1,1,181,1
144,1,1,184,0
145,1,1,185,1
146,1,1,186,1
147,1,1,187,1
148,1,1,190,0
149,1,1,191,1
150,1,1,192,1
151,1,1,193,1
152,1,1,194,0
153,1,1,195,1
154,1,1,197,0
155,1,1,198,1
156,1,1,199,1
157,1,2,0,0
158,1,2,1,1
159,1,2,3,1
160,1,2,4,0
161,1,2,5,0
162,1,2,6,1
163,1,2,8,1
164,1,2,9,0
165,1,2,11,1
166,1,2,12,0
167,1,2,13,0
168,1,2,14,0
169,1,2,15,1
170,1,2,17,0
171,1,2,18,0
172,1,2,19,1
173,1,2,21,0
174,1,2,22,1
175,1,2,24,1
176,1,2,25,0
177,1,2,26,1
178,1,2,27,0
179,1,2,28,1
180,1,2,29,0
181,1,2,31,1
182,1,2,32,1
183,1,2,33,1
184,1,2,34,0
185,1,2,35,1
186,1,2,37,0
187,1,2,38,1
188,1,2,39,1
