,trial_type,response,story_pass,s_or_q,state,qtype,edge,altedge,slider_true_right,objective_pr,edge_count,altedge_count,ex_pr_edge,ex_pr_altedge,resp_objective,resp_ex_pr_edge,resp_ex_pr_altedge,response_right,response_objective_right,response_experienced_right,correct
0,instructions,,0,s,BEGIN,,,,,,0.0,0.0,0.0,0.0,,,,False,False,False,True
1,html-slider-response,100.0,0,q,BEGIN,Default,BEGINWalktoback,BEGINWalktofront,True,60.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,True,True,False,True
2,instructions,,0,s,Walktoback,,,,,,1.0,1.0,50.0,50.0,,,,False,False,False,True
3,html-slider-response,0.0,0,q,Walktoback,Default,WalktobackStepinfront,WalktobackSayexcuseme,True,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,False,True,False,False
4,instructions,,0,s,Stepinfront,,,,,,2.0,2.0,50.0,50.0,,,,False,False,False,True
5,html-slider-response,1.0,0,q,Stepinfront,Alter,StepinfrontIgnore,StepinfrontIgnore,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,True,False,True,False
6,instructions,,0,s,Ignore,,,,,,3.0,3.0,50.0,50.0,,,,False,False,False,True
7,html-slider-response,0.0,0,q,Ignore,Permute,IgnoreXstare,IgnoreXstare,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,False,False,True,True
8,instructions,,0,s,Xstare,,,,,,4.0,4.0,50.0,50.0,,,,False,False,False,True
9,html-slider-response,100.0,0,q,Xstare,Default,XstareDessertcrumble,XstareCreamsplash,True,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,True,True,False,True
10,instructions,,0,s,Dessertcrumble,,,,,,5.0,5.0,50.0,50.0,,,,False,False,False,True
11,html-slider-response,100.0,0,q,Dessertcrumble,Alter,DessertcrumbleCallpoliceman,DessertcrumbleCallpoliceman,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,True,False,True,False
12,instructions,,0,s,Callpoliceman,,,,,,6.0,6.0,50.0,50.0,,,,False,False,False,True
13,html-slider-response,0.0,0,q,Callpoliceman,Permute,CallpolicemanHatecoffee,CallpolicemanHatecoffee,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,False,False,True,True
14,instructions,,0,s,Hatecoffee,,,,,,7.0,7.0,50.0,50.0,,,,False,False,False,True
15,html-slider-response,0.0,0,q,Hatecoffee,Alter,HatecoffeeEND,HatecoffeeEND,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,False,False,True,True
16,instructions,,0,s,END,,,,,,8.0,8.0,50.0,50.0,,,,False,False,False,True
17,instructions,,1,s,BEGIN,,,,,,9.0,9.0,50.0,50.0,,,,False,False,False,True
18,html-slider-response,0.0,1,q,BEGIN,Default,BEGINWalktofront,BEGINWalktoback,True,40.0,0.0,1.0,0.0,100.0,40.0,0.0,100.0,False,True,False,False
19,instructions,,1,s,Walktofront,,,,,,10.0,10.0,50.0,50.0,,,,False,False,False,True
20,html-slider-response,100.0,1,q,Walktofront,Default,WalktofrontStepinfront,WalktofrontSayexcuseme,False,50.0,0.0,0.0,0.0,0.0,50.0,100.0,100.0,True,True,True,True
21,instructions,,1,s,Stepinfront,,,,,,11.0,11.0,50.0,50.0,,,,False,False,False,True
22,html-slider-response,0.0,1,q,Stepinfront,Alter,StepinfrontIgnore,StepinfrontIgnore,False,100.0,1.0,1.0,50.0,50.0,0.0,50.0,50.0,False,False,True,True
23,instructions,,1,s,Ignore,,,,,,12.0,12.0,50.0,50.0,,,,False,False,False,True
24,html-slider-response,0.0,1,q,Ignore,Default,IgnoreXstare,IgnoreTurntobarista,False,66.0,1.0,0.0,100.0,0.0,34.0,0.0,100.0,False,True,False,False
25,instructions,,1,s,Xstare,,,,,,13.0,13.0,50.0,50.0,,,,False,False,False,True
26,html-slider-response,100.0,1,q,Xstare,Default,XstareDessertcrumble,XstareCreamsplash,True,50.0,1.0,0.0,100.0,0.0,50.0,100.0,0.0,True,True,True,True
27,instructions,,1,s,Dessertcrumble,,,,,,14.0,14.0,50.0,50.0,,,,False,False,False,True
28,html-slider-response,0.0,1,q,Dessertcrumble,Alter,DessertcrumbleCallpoliceman,DessertcrumbleCallpoliceman,False,100.0,1.0,1.0,50.0,50.0,0.0,50.0,50.0,False,False,True,True
29,instructions,,1,s,Callpoliceman,,,,,,15.0,15.0,50.0,50.0,,,,False,False,False,True
30,html-slider-response,0.0,1,q,Callpoliceman,Default,CallpolicemanHatecoffee,CallpolicemanLovejuice,False,70.0,1.0,0.0,100.0,0.0,30.0,0.0,100.0,False,True,False,False
31,instructions,,1,s,Hatecoffee,,,,,,16.0,16.0,50.0,50.0,,,,False,False,False,True
32,html-slider-response,0.0,1,q,Hatecoffee,Alter,HatecoffeeEND,HatecoffeeEND,False,100.0,1.0,1.0,50.0,50.0,0.0,50.0,50.0,False,False,True,True
33,instructions,,1,s,END,,,,,,17.0,17.0,50.0,50.0,,,,False,False,False,True
34,instructions,,2,s,BEGIN,,,,,,18.0,18.0,50.0,50.0,,,,False,False,False,True
35,instructions,,2,s,Walktoback,,,,,,19.0,19.0,50.0,50.0,,,,False,False,False,True
36,html-slider-response,100.0,2,q,Walktoback,Default,WalktobackStepinfront,WalktobackSayexcuseme,True,40.0,1.0,0.0,100.0,0.0,40.0,100.0,0.0,True,True,True,True
37,instructions,,2,s,Stepinfront,,,,,,20.0,20.0,50.0,50.0,,,,False,False,False,True
