"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response"
"[{""page_index"":0,""viewing_time"":5973}]","5973","instructions","0","5975","0.0-0.0",""
"","25406","html-slider-response","1","31638","0.0-1.0","100"
"[{""page_index"":0,""viewing_time"":3208}]","3208","instructions","2","35100","0.0-2.0",""
"","7528","html-slider-response","3","42880","0.0-3.0","0"
"[{""page_index"":0,""viewing_time"":2942}]","2942","instructions","4","46076","0.0-4.0",""
"","13056","html-slider-response","5","59384","0.0-5.0","1"
"[{""page_index"":0,""viewing_time"":968}]","968","instructions","6","60603","0.0-6.0",""
"","21064","html-slider-response","7","81923","0.0-7.0","0"
"[{""page_index"":0,""viewing_time"":777}]","778","instructions","8","82955","0.0-8.0",""
"","11844","html-slider-response","9","95055","0.0-9.0","100"
"[{""page_index"":0,""viewing_time"":2417}]","2417","instructions","10","97722","0.0-10.0",""
"","11699","html-slider-response","11","109676","0.0-11.0","100"
"[{""page_index"":0,""viewing_time"":1471}]","1471","instructions","12","111402","0.0-12.0",""
"","12254","html-slider-response","13","123910","0.0-13.0","0"
"[{""page_index"":0,""viewing_time"":695}]","695","instructions","14","124857","0.0-14.0",""
"","9093","html-slider-response","15","134201","0.0-15.0","0"
"[{""page_index"":0,""viewing_time"":1331}]","1331","instructions","16","135785","0.0-16.0",""
"[{""page_index"":0,""viewing_time"":4021}]","4021","instructions","17","140057","0.0-17.0",""
"","11012","html-slider-response","18","151321","0.0-18.0","0"
"[{""page_index"":0,""viewing_time"":4347}]","4347","instructions","19","155920","0.0-19.0",""
"","5592","html-slider-response","20","161768","0.0-20.0","100"
"[{""page_index"":0,""viewing_time"":1475}]","1475","instructions","21","163496","0.0-21.0",""
"","6866","html-slider-response","22","170616","0.0-22.0","0"
"[{""page_index"":0,""viewing_time"":553}]","553","instructions","23","171424","0.0-23.0",""
"","12085","html-slider-response","24","183764","0.0-24.0","0"
"[{""page_index"":0,""viewing_time"":2886}]","2886","instructions","25","186904","0.0-25.0",""
"","4110","html-slider-response","26","191267","0.0-26.0","100"
"[{""page_index"":0,""viewing_time"":1230}]","1230","instructions","27","192751","0.0-27.0",""
"","7036","html-slider-response","28","200043","0.0-28.0","0"
"[{""page_index"":0,""viewing_time"":833}]","833","instructions","29","201127","0.0-29.0",""
"","7981","html-slider-response","30","209363","0.0-30.0","0"
"[{""page_index"":0,""viewing_time"":734}]","734","instructions","31","210351","0.0-31.0",""
"","8366","html-slider-response","32","218971","0.0-32.0","0"
"[{""page_index"":0,""viewing_time"":1479}]","1479","instructions","33","220702","0.0-33.0",""
"[{""page_index"":0,""viewing_time"":3301}]","3301","instructions","34","224254","0.0-34.0",""
"[{""page_index"":0,""viewing_time"":6505}]","6505","instructions","35","231014","0.0-35.0",""
"","4029","html-slider-response","36","235294","0.0-36.0","100"
"[{""page_index"":0,""viewing_time"":1041}]","1041","instructions","37","236590","0.0-37.0",""
"","7179","html-slider-response","38","244022","0.0-38.0","0"
"[{""page_index"":0,""viewing_time"":867}]","867","instructions","39","245142","0.0-39.0",""
"","10373","html-slider-response","40","255766","0.0-40.0","0"
"[{""page_index"":0,""viewing_time"":5554}]","5554","instructions","41","261573","0.0-41.0",""
"","6417","html-slider-response","42","268245","0.0-42.0","100"
"[{""page_index"":0,""viewing_time"":812}]","812","instructions","43","269309","0.0-43.0",""
"","10314","html-slider-response","44","279877","0.0-44.0","0"
"[{""page_index"":0,""viewing_time"":789}]","789","instructions","45","280917","0.0-45.0",""
"","8601","html-slider-response","46","289773","0.0-46.0","100"
"[{""page_index"":0,""viewing_time"":757}]","757","instructions","47","290780","0.0-47.0",""
"","7623","html-slider-response","48","298656","0.0-48.0","0"
"[{""page_index"":0,""viewing_time"":1631}]","1631","instructions","49","300540","0.0-49.0",""
"[{""page_index"":0,""viewing_time"":3809}]","3809","instructions","50","304604","0.0-50.0",""
"","16269","html-slider-response","51","321128","0.0-51.0","100"
"[{""page_index"":0,""viewing_time"":3222}]","3222","instructions","52","324603","0.0-52.0",""
"","4261","html-slider-response","53","329119","0.0-53.0","0"
"[{""page_index"":0,""viewing_time"":854}]","854","instructions","54","330227","0.0-54.0",""
"[{""page_index"":0,""viewing_time"":1657}]","1657","instructions","55","332139","0.0-55.0",""
"","9821","html-slider-response","56","342215","0.0-56.0","0"
"[{""page_index"":0,""viewing_time"":1025}]","1025","instructions","57","343491","0.0-57.0",""
"","26614","html-slider-response","58","370358","0.0-58.0","0"
"[{""page_index"":0,""viewing_time"":777}]","777","instructions","59","371386","0.0-59.0",""
"","9896","html-slider-response","60","381534","0.0-60.0","0"
"[{""page_index"":0,""viewing_time"":781}]","782","instructions","61","382570","0.0-61.0",""
"","8139","html-slider-response","62","390962","0.0-62.0","0"
"[{""page_index"":0,""viewing_time"":797}]","797","instructions","63","392010","0.0-63.0",""
"","6425","html-slider-response","64","398689","0.0-64.0","0"
"[{""page_index"":0,""viewing_time"":1753}]","1753","instructions","65","400697","0.0-65.0",""
"[{""page_index"":0,""viewing_time"":3921}]","3921","instructions","66","404873","0.0-66.0",""
"","12071","html-slider-response","67","417197","0.0-67.0","0"
"[{""page_index"":0,""viewing_time"":2740}]","2740","instructions","68","420192","0.0-68.0",""
"[{""page_index"":0,""viewing_time"":841}]","841","instructions","69","421289","0.0-69.0",""
"","5824","html-slider-response","70","427368","0.0-70.0","0"
"[{""page_index"":0,""viewing_time"":940}]","940","instructions","71","428560","0.0-71.0",""
"","12615","html-slider-response","72","441426","0.0-72.0","0"
"[{""page_index"":0,""viewing_time"":851}]","851","instructions","73","442528","0.0-73.0",""
"","9111","html-slider-response","74","451892","0.0-74.0","100"
"[{""page_index"":0,""viewing_time"":911}]","911","instructions","75","453055","0.0-75.0",""
"","7971","html-slider-response","76","461279","0.0-76.0","100"
"[{""page_index"":0,""viewing_time"":499}]","499","instructions","77","462031","0.0-77.0",""
"[{""page_index"":0,""viewing_time"":2549}]","2549","instructions","78","464831","0.0-78.0",""
"","9987","html-slider-response","79","475071","0.0-79.0","0"
"[{""page_index"":0,""viewing_time"":1338}]","1339","instructions","80","476663","0.0-80.0",""
"[{""page_index"":0,""viewing_time"":1900}]","1900","instructions","81","478815","0.0-81.0",""
"","13292","html-slider-response","82","492358","0.0-82.0","100"
"[{""page_index"":0,""viewing_time"":1706}]","1706","instructions","83","494318","0.0-83.0",""
"","7708","html-slider-response","84","502282","0.0-84.0","0"
"[{""page_index"":0,""viewing_time"":694}]","694","instructions","85","503230","0.0-85.0",""
"","5954","html-slider-response","86","509438","0.0-86.0","100"
"[{""page_index"":0,""viewing_time"":586}]","586","instructions","87","510278","0.0-87.0",""
"","19685","html-slider-response","88","530213","0.0-88.0","0"
"[{""page_index"":0,""viewing_time"":661}]","661","instructions","89","531125","0.0-89.0",""
"","5677","html-slider-response","90","537053","0.0-90.0","100"
"[{""page_index"":0,""viewing_time"":1290}]","1290","instructions","91","538597","0.0-91.0",""
"[{""page_index"":0,""viewing_time"":1885}]","1885","instructions","92","540733","0.0-92.0",""
"","4890","html-slider-response","93","545877","0.0-93.0","0"
"[{""page_index"":0,""viewing_time"":868}]","868","instructions","94","546997","0.0-94.0",""
"","7943","html-slider-response","95","555193","0.0-95.0","0"
"[{""page_index"":0,""viewing_time"":801}]","801","instructions","96","556244","0.0-96.0",""
"[{""page_index"":0,""viewing_time"":4385}]","4385","instructions","97","560884","0.0-97.0",""
"","4830","html-slider-response","98","565968","0.0-98.0","0"
"[{""page_index"":0,""viewing_time"":2990}]","2990","instructions","99","569212","0.0-99.0",""
"","4282","html-slider-response","100","573748","0.0-100.0","100"
"[{""page_index"":0,""viewing_time"":726}]","726","instructions","101","574724","0.0-101.0",""
"","8696","html-slider-response","102","583676","0.0-102.0","0"
"[{""page_index"":0,""viewing_time"":562}]","563","instructions","103","584492","0.0-103.0",""
"","19056","html-slider-response","104","603803","0.0-104.0","100"
"[{""page_index"":0,""viewing_time"":594}]","594","instructions","105","604651","0.0-105.0",""
"","5038","html-slider-response","106","609943","0.0-106.0","0"
"[{""page_index"":0,""viewing_time"":1518}]","1518","instructions","107","611715","0.0-107.0",""
"","7278","html-slider-response","108","619246","0.0-108.0","0"
"[{""page_index"":0,""viewing_time"":805}]","805","instructions","109","620306","0.0-109.0",""
"[{""page_index"":0,""viewing_time"":2485}]","2485","instructions","110","623042","0.0-110.0",""
"","4789","html-slider-response","111","628086","0.0-111.0","100"
"[{""page_index"":0,""viewing_time"":1022}]","1022","instructions","112","629362","0.0-112.0",""
"[{""page_index"":0,""viewing_time"":3041}]","3041","instructions","113","632658","0.0-113.0",""
"","8577","html-slider-response","114","641490","0.0-114.0","0"
"[{""page_index"":0,""viewing_time"":2350}]","2350","instructions","115","644090","0.0-115.0",""
"","4880","html-slider-response","116","649222","0.0-116.0","0"
"[{""page_index"":0,""viewing_time"":822}]","822","instructions","117","650298","0.0-117.0",""
